index,Title,imdbID,Writer,Plot,Awards,Metascore,Type
221,Caravans,tt0077296,"James A. Michener (novel), Nancy Voyles Crawford (screenplay), Thomas A. McMahon (screenplay), Lorraine Williams (screenplay)","In 1948, at the U.S. embassy in Zadestan, a young diplomat is ordered to find the missing daughter of an influential American senator.",N/A,N/A,movie
222,Jaws 2,tt0077766,"Peter Benchley (based upon characters created by), Carl Gottlieb, Howard Sackler",Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,N/A,51,movie
223,F.I.S.T.,tt0077531,"Joe Eszterhas (story), Joe Eszterhas (screenplay), Sylvester Stallone (screenplay)",A rebellious Cleveland warehouse worker rises through the ranks of a trucking industry union to become union president but his organized crime links cause his eventual downfall.,1 win & 1 nomination.,54,movie
224,The Deer Hunter,tt0077416,"Michael Cimino (story), Deric Washburn (story), Louis Garfinkle (story), Quinn K. Redeker (story), Deric Washburn (screenplay)",An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,Won 5 Oscars. Another 17 wins & 26 nominations.,86,movie
225,Superman,tt0078346,"Jerry Siegel (character created by: Superman), Joe Shuster (character created by: Superman), Mario Puzo (story), Mario Puzo (screenplay), David Newman (screenplay), Leslie Newman (screenplay), Robert Benton (screenplay)","An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.",Nominated for 3 Oscars. Another 17 wins & 18 nominations.,80,movie
226,Mad Max,tt0079501,"James McCausland (screenplay), George Miller (screenplay), George Miller (original story), Byron Kennedy (original story)","In a self-destructing world, a vengeful Australian policeman sets out to stop a violent motorcycle gang.",4 wins & 7 nominations.,73,movie
227,The Muppet Movie,tt0079588,"Jerry Juhl, Jack Burns","Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit.",Nominated for 2 Oscars. Another 3 wins & 9 nominations.,74,movie
228,The Black Hole,tt0078869,"Jeb Rosebrook (story by), Bob Barbash (story by), Richard H. Landau (story by), Jeb Rosebrook (screenplay by), Gerry Day (screenplay by)","A research vessel finds a missing ship, commanded by a mysterious scientist, on the edge of a black hole.",Nominated for 2 Oscars. Another 6 nominations.,N/A,movie
229,Penitentiary,tt0079709,Jamaa Fanaka,"A hitchhiker named Martel Gordone gets in a fight with two bikers over a prostitute, and one of the bikers is killed. Gordone is arrested and sent to prison, where he joins the prison's ...",N/A,N/A,movie
230,Prophecy,tt0079758,David Seltzer,"A log company's waste mutates the environment, creating a giant killer bear-monster.",N/A,N/A,movie
231,Meteor,tt0079550,"Stanley Mann (screenplay), Edmund H. North (screenplay), Edmund H. North (story)",The U.S. must join forces with the U.S.S.R. in order to destroy a gigantic asteroid heading straight for Earth.,N/A,N/A,movie
232,The Great Train Robbery,tt0079240,"Michael Crichton (screenplay by), Michael Crichton (based on his novel)","In Victorian England, a master criminal makes elaborate plans to steal a shipment of gold from a moving train.",1 win & 1 nomination.,68,movie
233,Escape from Alcatraz,tt0079116,"J. Campbell Bruce (book), Richard Tuggle (screenplay)","Alcatraz is the most secure prison of its time. It is believed that no one can ever escape from it, until three daring men make a possible successful attempt at escaping from one of the most infamous prisons in the world.",N/A,76,movie
234,Alien,tt0078748,"Dan O'Bannon (story), Ronald Shusett (story), Dan O'Bannon (screenplay)","After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun.",Won 1 Oscar. Another 16 wins & 19 nominations.,89,movie
235,The Black Stallion,tt0078872,"Melissa Mathison (screenplay), Jeanne Rosenberg (screenplay), William D. Wittliff (screenplay), Walter Farley (novel)","While traveling with his father, young Alec becomes fascinated by a mysterious Arabian stallion who is brought on board and stabled in the ship he is sailing on. When it tragically sinks ...",Nominated for 2 Oscars. Another 8 wins & 4 nominations.,84,movie
236,All That Jazz,tt0078754,"Robert Alan Aurthur, Bob Fosse","Director/choreographer Bob Fosse tells his own life story as he details the sordid life of Joe Gideon, a womanizing, drug-using dancer.",Won 4 Oscars. Another 6 wins & 14 nominations.,72,movie
237,The Rose,tt0079826,"Bo Goldman (screenplay), Bill Kerby (screenplay), Bill Kerby (story)",The tragic life of a self-destructive female rock star who struggles to deal with the constant pressures of her career and the demands of her ruthless business manager.,Nominated for 4 Oscars. Another 5 wins & 8 nominations.,67,movie
238,Moonraker,tt0079574,Christopher Wood (screenplay),"James Bond investigates the mid-air theft of a space shuttle, and discovers a plot to commit global genocide.",Nominated for 1 Oscar. Another 1 win & 4 nominations.,66,movie
239,1941,tt0078723,"Robert Zemeckis (screenplay), Bob Gale (screenplay), Robert Zemeckis (story), Bob Gale (story), John Milius (story)",Hysterical Californians prepare for a Japanese invasion in the days after Pearl Harbor.,Nominated for 3 Oscars. Another 3 nominations.,34,movie
240,Star Trek: The Motion Picture,tt0079945,"Gene Roddenberry (based on ""Star Trek"" created by), Harold Livingston (screenplay), Alan Dean Foster (story)","When an alien spacecraft of enormous power is spotted approaching Earth, Admiral James T. Kirk resumes command of the overhauled USS Enterprise in order to intercept it.",Nominated for 3 Oscars. Another 4 wins & 16 nominations.,48,movie
241,Apocalypse Now,tt0078788,"John Milius, Francis Ford Coppola, Michael Herr (narration)",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Won 2 Oscars. Another 18 wins & 31 nominations.,94,movie
242,Airplane!,tt0080339,"Jim Abrahams (written for the screen by), David Zucker (written for the screen by), Jerry Zucker (written for the screen by)",A man afraid to fly must ensure that a plane lands safely after the pilots become sick.,Nominated for 1 Golden Globe. Another 2 wins & 6 nominations.,78,movie
243,The Fog,tt0080749,"John Carpenter, Debra Hill",An unearthly fog rolls into a small coastal town exactly 100 years after a ship mysteriously sank in its waters.,1 win & 2 nominations.,55,movie
244,Galaxina,tt0080771,William Sachs,"The crew of the police cruiser Infinity is finally heading home after a long stay in deep space. Just when they think they are about to get some much needed rest and relaxation, the crew is...",1 win & 1 nomination.,N/A,movie
245,Caddyshack,tt0080487,"Brian Doyle-Murray, Harold Ramis, Douglas Kenney",An exclusive golf course has to deal with a brash new member and a destructive dancing gopher.,1 nomination.,48,movie
246,The Long Riders,tt0081071,"Bill Bryden, Steven Smith, Stacy Keach, James Keach","The origins, exploits and the ultimate fate of the Jesse James gang is told in a sympathetic portrayal of the bank robbers made up of brothers who begin their legendary bank raids because of revenge.",1 win & 1 nomination.,64,movie
247,Somewhere in Time,tt0081534,"Richard Matheson (screenplay), Richard Matheson (novel)",A Chicago playwright uses self-hypnosis to travel back in time and meet the actress whose vintage portrait hangs in a grand hotel.,Nominated for 1 Oscar. Another 7 wins & 3 nominations.,29,movie
248,Dressed to Kill,tt0080661,Brian De Palma,"A mysterious blonde woman kills one of a psychiatrist's patients, and then goes after the high-class call girl who witnessed the murder.",Nominated for 1 Golden Globe. Another 1 win & 9 nominations.,74,movie
249,The Blue Lagoon,tt0080453,"Henry De Vere Stacpoole (based on the novel by), Douglas Day Stewart (screenplay by)","In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together, unaware that sexual maturity will eventually intervene.",Nominated for 1 Oscar. Another 3 wins & 7 nominations.,31,movie
250,Private Benjamin,tt0081375,"Nancy Meyers, Charles Shyer, Harvey Miller",A sheltered young high society woman joins the United States Army on a whim and finds herself in a more difficult situation than she ever expected.,Nominated for 3 Oscars. Another 1 win & 3 nominations.,59,movie
251,Flash Gordon,tt0080745,"Lorenzo Semple Jr. (screenplay), Michael Allin (adaptation), Alex Raymond (based on the characters created by)",A football player and his friends travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth.,Nominated for 2 BAFTA Film Awards. Another 2 wins & 9 nominations.,58,movie
252,Superman II,tt0081573,"Jerry Siegel (character created by: Superman), Joe Shuster (character created by: Superman), Mario Puzo (story by), Mario Puzo (screenplay by), David Newman (screenplay by), Leslie Newman (screenplay by)","Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth.",3 wins & 6 nominations.,87,movie
253,Raise the Titanic,tt0081400,"Adam Kennedy (screenplay), Eric Hughes (adaptation), Clive Cussler (novel)","To obtain a supply of a rare mineral, a ship raising operation is conducted for the only known source, the R.M.S. Titanic.",3 nominations.,N/A,movie
254,Raging Bull,tt0081398,"Jake LaMotta (based on the book by), Joseph Carter (with), Peter Savage (with), Paul Schrader (screenplay), Mardik Martin (screenplay)","The life of boxer Jake LaMotta, who's violence and temper that lead him to the top in the ring destroyed his life outside of it.",Won 2 Oscars. Another 22 wins & 26 nominations.,89,movie
255,Can't Stop the Music,tt0080492,"Bronte Woodard, Allan Carr",A pseudo autobiography of disco's The Village People.,4 wins & 11 nominations.,N/A,movie
256,Coal Miner's Daughter,tt0080549,"Thomas Rickman (screenplay), Loretta Lynn (autobiography), George Vecsey (autobiography)","Biographical story of Loretta Lynn, a legendary country singer that came from poverty to worldwide fame. She rose from humble beginnings in Kentucky to superstardom and changing the sound and style of country music forever.",Won 1 Oscar. Another 8 wins & 13 nominations.,87,movie
257,Ordinary People,tt0081283,"Judith Guest (novel), Alvin Sargent (screenplay)","The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son.",Won 4 Oscars. Another 15 wins & 14 nominations.,87,movie
258,The Elephant Man,tt0080678,"Christopher De Vore (screenplay), Eric Bergren (screenplay), David Lynch (screenplay), Frederick Treves (book), Ashley Montagu (in part on the book ""The Elephant Man: A Study in Human Dignity"")","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",Nominated for 8 Oscars. Another 10 wins & 13 nominations.,77,movie
259,Star Wars: Episode V - The Empire Strikes Back,tt0080684,"Leigh Brackett (screenplay by), Lawrence Kasdan (screenplay by), George Lucas (story by)","After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader.",Won 1 Oscar. Another 21 wins & 19 nominations.,82,movie
260,The Shining,tt0081505,"Stephen King (novel), Stanley Kubrick (screenplay), Diane Johnson (screenplay)","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",3 wins & 7 nominations.,66,movie
261,The Blues Brothers,tt0080455,"Dan Aykroyd, John Landis","Jake Blues, just out from prison, puts together his old band to save the Catholic home where he and brother Elwood were raised.",1 win.,60,movie
262,Lion of the Desert,tt0081059,"David Butler (additional material), H.A.L. Craig, Paul Thompson (additional material)","In 1929, Italian Fascist dictator Benito Mussolini appoints General Rodolfo Graziani as colonial governor to Italian Libya with orders to stamp-out all resistance from Libyan nationalists led by rebel guerrilla leader Omar Mukhtar.",N/A,N/A,movie
263,Heaven's Gate,tt0080855,Michael Cimino,"A dramatization of the real-life Johnson County War in 1890 Wyoming, in which a Sheriff born into wealth, attempts to protect immigrant farmers from rich cattle interests.",Nominated for 1 Oscar. Another 2 wins & 8 nominations.,57,movie
264,Heartbeeps,tt0082507,John Hill,Two household robots run away and try to start a family.,Nominated for 1 Oscar. Another 8 nominations.,N/A,movie
265,The Beyond,tt0082307,"Dardano Sacchetti (story), Dardano Sacchetti (screenplay), Giorgio Mariuzzo (screenplay), Lucio Fulci (screenplay)","A young woman inherits an old hotel in Louisiana where, following a series of supernatural ""accidents"", she learns that the building was built over one of the entrances to Hell.",N/A,N/A,movie
266,Friday the 13th Part 2,tt0082418,"Ron Kurz, Victor Miller (characters)","Mrs. Voorhees is dead, and Camp Crystal Lake is shut down, but a camp next to the infamous place is stalked by an unknown assailant.",3 nominations.,26,movie
267,Heavy Metal,tt0082509,"Daniel Goldberg (screenplay), Len Blum (screenplay), Dan O'Bannon (original story), Daniel Goldberg (story), Len Blum (story), Richard Corben (original story), Bernie Wrightson (original story), Dan O'Bannon (story), Angus McKie (original story), Daniel Goldberg (story), Len Blum (story)","A glowing green orb - which embodies ultimate evil - terrorizes a young girl with an anthology of bizarre and fantastic stories of dark fantasy, eroticism and horror.",4 wins & 2 nominations.,51,movie
268,The Howling,tt0082533,"Gary Brandner (novel), John Sayles (screenplay), Terence H. Winkless (screenplay)","After a bizarre and near deadly encounter with a serial killer, a television newswoman is sent to a remote mountain resort whose residents may not be what they seem.",2 wins & 2 nominations.,68,movie
269,History of the World: Part I,tt0082517,Mel Brooks,Mel Brooks brings his one-of-a-kind comic touch to the history of mankind covering events from the Old Testament to the French Revolution in a series of episodic comedy vignettes.,1 win & 1 nomination.,47,movie
270,Modern Problems,tt0082763,"Ken Shapiro, Tom Sherohman, Arthur Sellers (screenplay)","Jealous, harried air traffic controller Max Fiedler, recently dumped by his girlfriend, comes into contact with nuclear waste and is granted the power of telekinesis, which he uses not only to win her back, but to gain a little revenge.",1 nomination.,27,movie
271,Porky's,tt0084522,Bob Clark,"In 1954, a group of Florida high school students try to help their buddy lose his virginity, which leads them to seeking revenge on a sleazy nightclub owner and his redneck sheriff brother for harassing them.",1 win & 1 nomination.,40,movie
272,Graduation Day,tt0082467,"Anne Marisse, Herb Freed, David Baughn (story)",A masked killer begins murdering students on the school track team after a track runner dies upon completion of a 30 second 200-meter race.,N/A,N/A,movie
273,The Evil Dead,tt0083907,Sam Raimi,"Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons.",3 wins & 1 nomination.,71,movie
274,The Legend of the Lone Ranger,tt0082648,"Ivan Goff (screenplay), Ben Roberts (screenplay), Michael Kane (screenplay), William Roberts (screenplay), Gerald B. Derloshon (adaptation), George W. Trendle (characters), Fran Striker (characters)",The sole surviving Texas Ranger of an ambush arranged by the outlaw leader Butch Cavandish returns to fight back as a great masked western hero - The Lone Ranger.,4 wins & 4 nominations.,N/A,movie
275,Under the Rainbow,tt0083254,"Fred Bauer (story), Pat Bradley (story), Pat McCormick (screenplay), Harry Hurwitz (screenplay), Martin Smith (screenplay), Pat Bradley (screenplay), Fred Bauer (screenplay)","A visiting dignitary, a CIA agent, a Nazi spy, Japanese tourists, an assassin and a group of ""midget"" actors from The Wizard of Oz (1939) all check into an elite Los Angeles hotel called Under the Rainbow.",1 win & 4 nominations.,N/A,movie
276,Nighthawks,tt0082817,"David Shaber (screenplay), David Shaber (story), Paul Sylbert (story)","Conservative street cop DaSilva reluctantly agrees to terminate an international terrorist who has demanded media attention. But DaSilva's ""at-home"" tactics are very much put to the challenge.",N/A,56,movie
277,Quest for Fire,tt0082484,"Gérard Brach (screenplay), J.H. Rosny Sr. (based on the novel by)",This story takes place in prehistoric time when three tribesmen search for a new fire source.,Won 1 Oscar. Another 10 wins & 7 nominations.,79,movie
278,The Pursuit of D.B. Cooper,tt0082958,"J.D. Reed (book), Jeffrey Alan Fiskin (screenplay)","A speculation on the fate of the famous hijacker who parachuted with his ransom and disappeared in the mountains, has Cooper following a meticulous plan to disappear into anonymity despite ...",1 win.,N/A,movie
279,Roar,tt0083001,"Noel Marshall, Ted Cassidy (additional script material)",A family goes to Africa to meet their father who lives with wild lions.,N/A,65,movie
280,Time Bandits,tt0081633,"Michael Palin, Terry Gilliam","A young boy accidentally joins a band of time travelling dwarves, as they jump from era to era looking for treasure to steal.",1 win & 8 nominations.,79,movie
281,Escape from New York,tt0082340,"John Carpenter, Nick Castle","In 1997, when the U.S. president crashes into Manhattan, now a giant maximum security prison, a convicted bank robber is sent in to rescue him.",4 nominations.,76,movie
282,Blow Out,tt0082085,Brian De Palma,A movie sound recordist accidentally records the evidence that proves that a car accident was actually murder and consequently finds himself in danger.,2 nominations.,85,movie
283,The Four Seasons,tt0082405,Alan Alda,"Three middle-aged wealthy couples take vacations together in Spring, Summer, Autumn and Winter. Along the way we are treated to mid-life, marital, parental and other crises.",Nominated for 4 Golden Globes. Another 1 win & 1 nomination.,N/A,movie
284,Dragonslayer,tt0082288,"Hal Barwood, Matthew Robbins",A young wizarding apprentice is sent to kill a dragon which has been devouring girls from a nearby kingdom.,Nominated for 2 Oscars. Another 5 nominations.,68,movie
285,Raiders of the Lost Ark,tt0082971,"Lawrence Kasdan (screenplay by), George Lucas (story by), Philip Kaufman (story by)","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",Won 4 Oscars. Another 30 wins & 23 nominations.,85,movie
286,Stripes,tt0083131,"Len Blum, Daniel Goldberg, Harold Ramis",Two friends who are dissatisfied with their jobs decide to join the army for a bit of fun.,N/A,68,movie
287,Sphinx,tt0083113,"John Byrum (screenplay), Robin Cook (novel)","Egyptologist Erica Baron finds more than she bargained for during her long-planned trip to The Land of the Pharoahs: murder, theft, betrayal, love, and a mummy's curse.",N/A,N/A,movie
288,The Postman Always Rings Twice,tt0082934,"James M. Cain (novel), David Mamet (screenplay)",The sensuous wife of a lunch wagon proprietor and a rootless drifter begin a sordidly steamy affair and conspire to murder her Greek husband.,1 win & 1 nomination.,61,movie
289,Chariots of Fire,tt0082158,Colin Welland (original screenplay),"Two British track athletes, one a determined Jew, and the other a devout Christian, compete in the 1924 Olympics.",Won 4 Oscars. Another 14 wins & 19 nominations.,78,movie
290,For Your Eyes Only,tt0082398,"Richard Maibaum (screenplay), Michael G. Wilson (screenplay)",Agent 007 is assigned to hunt for a lost British encryption device and prevent it from falling into enemy hands.,Nominated for 1 Oscar. Another 2 wins & 4 nominations.,54,movie
291,Mommie Dearest,tt0082766,"Christina Crawford (book), Frank Yablans (screenplay), Frank Perry (screenplay), Tracy Hotchner (screenplay), Robert Getchell (screenplay)","The abusive and traumatic adoptive upbringing of Christina Crawford at the hands of her mother, screen queen Joan Crawford, is depicted.",9 wins & 11 nominations.,55,movie
292,Inchon,tt0084132,"Robin Moore (screenplay), Laird Koenig (screenplay), Robin Moore (story), Paul Savage (story)","During the Korean War, General Douglas MacArthur masterminds the amphibious invasion of Inchon in September 1950.",5 wins & 1 nomination.,N/A,movie
293,Reds,tt0082979,"Warren Beatty, Trevor Griffiths","A radical American journalist becomes involved with the Communist revolution in Russia, and hopes to bring its spirit and idealism to the United States.",Won 3 Oscars. Another 19 wins & 34 nominations.,76,movie
294,Das Boot,tt0082096,"Wolfgang Petersen (screenplay), Lothar G. Buchheim (novel)","The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",Nominated for 6 Oscars. Another 13 wins & 5 nominations.,86,movie
295,Jekyll and Hyde... Together Again,tt0084171,"Monica Mcgowan Johnson, Harvey Miller, Jerry Belson, Michael Leeson, Robert Louis Stevenson (novel)","Dr Daniel Jekyll researching into drugs that would help mankind avoid surgery discovers a white powder that unleashes the animal in every man, and in his case turning him from a shy and ...",N/A,N/A,movie
296,Fast Times at Ridgemont High,tt0083929,"Cameron Crowe (screenplay), Cameron Crowe (book)","A group of Southern California high school students are enjoying their most important subjects: sex, drugs, and rock n' roll.",1 win & 1 nomination.,67,movie
297,The Beastmaster,tt0083630,"Don Coscarelli, Paul Pepperman","A sword-and-sorcery fantasy about a young man's search for revenge. Armed with supernatural powers, the handsome hero and his animal allies wage war against marauding forces.",1 win & 1 nomination.,18,movie
298,Friday the 13th Part III,tt0083972,"Martin Kitrosser (screenplay), Carol Watson (screenplay), Victor Miller (character creator), Ron Kurz (character creator)","Having revived from his wounds, Jason Voorhees takes refuge at a cabin near Crystal Lake. As a group of co-eds arrive for their vacation, Jason continues his killing spree.",2 nominations.,30,movie
299,Cat People,tt0083722,"DeWitt Bodeen (story), Alan Ormsby (screenplay)",A young woman's sexual awakening brings horror when she discovers her urges transform her into a monstrous black leopard.,Nominated for 2 Golden Globes. Another 1 nomination.,62,movie
300,First Blood,tt0083944,"David Morrell (based on the novel by), Michael Kozoll (screenplay by), William Sackheim (screenplay by), Sylvester Stallone (screenplay by)",A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,1 win & 2 nominations.,61,movie
301,Halloween III: Season of the Witch,tt0085636,Tommy Lee Wallace,Kids all over America want Silver Shamrock masks for Halloween. Doctor Daniel Challis seeks to uncover a plot by Silver Shamrock owner Conal Cochran.,1 win & 1 nomination.,50,movie
302,Class of 1984,tt0083739,"Tom Holland (story), Mark L. Lester (screenplay), John C.W. Saxton (screenplay), Tom Holland (screenplay)",A new teacher at a troubled inner-city high school soon ends up clashing with the delinquent leader of a punk posse that runs the school.,2 nominations.,49,movie
303,Megaforce,tt0084316,"Bob Kachler (story), James Whittaker (screenplay), Al Ruddy (screenplay), Hal Needham (screenplay), Andre Morgan (screenplay)",Story about a rapid deployment defense unit that is called into action whenever freedom is threatened.,3 nominations.,N/A,movie
304,The Man from Snowy River,tt0084296,"A.B. 'Banjo' Paterson (poem), Cul Cullen (script), John Dixon (screenplay)","In 1880s Australia, after young Jim Craig's father dies, Jim takes a job at the Harrison cattle ranch, where he is forced to become a man.",Nominated for 1 Golden Globe. Another 2 wins & 2 nominations.,N/A,movie
305,The Ballad of Gregorio Cortez,tt3551840,"Américo Paredes (book), Victor Villaseñor, Robert M. Young","After he is accused of murdering a lawman in 1901 Texas, a Mexican-American farmer flees and manages to elude a large posse for two weeks before he is finally captured.",N/A,N/A,movie
306,Butterfly,tt0082122,"James M. Cain (novel), Matt Cimber (adaptation), John F. Goff (screenplay), Matt Cimber (screenplay)","In 1937 Nevada, silver mine caretaker Jess Tyler is reunited with his teenage daughter Kady who will do anything to persuade Jess to let her have claim to the mine.",Won 1 Golden Globe. Another 3 wins & 9 nominations.,N/A,movie
307,The Thing,tt0084787,"Bill Lancaster (screenplay), John W. Campbell Jr. (story)",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,3 nominations.,57,movie
308,Diner,tt0083833,Barry Levinson,A group of college-age buddies struggle with their imminent passage into adulthood in 1959 Baltimore.,Nominated for 1 Oscar. Another 3 wins & 5 nominations.,82,movie
309,The Best Little Whorehouse in Texas,tt0083642,"Larry L. King (play), Peter Masterson (play), Larry L. King (screenplay), Peter Masterson (screenplay), Colin Higgins (screenplay)",A town's Sheriff and regular patron of a historical whorehouse fights to keep it running when a television reporter targets it as the Devil's playhouse.,Nominated for 1 Oscar. Another 2 nominations.,40,movie
310,Star Trek II: The Wrath of Khan,tt0084726,"Gene Roddenberry (based on ""Star Trek"" created by), Harve Bennett (story), Jack B. Sowards (story), Jack B. Sowards (screenplay)","With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",3 wins & 9 nominations.,67,movie
311,Tootsie,tt0084805,"Larry Gelbart (screenplay), Murray Schisgal (screenplay), Don McGuire (story), Larry Gelbart (story)","Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap.",Won 1 Oscar. Another 24 wins & 30 nominations.,88,movie
312,Blade Runner,tt0083658,"Hampton Fancher (screenplay), David Webb Peoples (screenplay), Philip K. Dick (novel)","A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Nominated for 2 Oscars. Another 11 wins & 16 nominations.,89,movie
313,E.T. the Extra-Terrestrial,tt0083866,Melissa Mathison,A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.,Won 4 Oscars. Another 47 wins & 34 nominations.,91,movie
314,Poltergeist,tt0084516,"Steven Spielberg (screenplay), Michael Grais (screenplay), Mark Victor (screenplay), Steven Spielberg (story)",A family's home is haunted by a host of demonic ghosts.,Nominated for 3 Oscars. Another 4 wins & 4 nominations.,79,movie
315,The Verdict,tt0084855,"Barry Reed (based upon the novel by), David Mamet (screenplay)",A lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.,Nominated for 5 Oscars. Another 3 wins & 9 nominations.,77,movie
316,Conan the Barbarian,tt0082198,"Robert E. Howard (based on the character created by), John Milius, Oliver Stone","A young boy, Conan, becomes a slave after his parents are killed and tribe destroyed by a savage warlord and sorcerer, Thulsa Doom. When he grows up he becomes a fearless, invincible fighter. Set free, he plots revenge against Thulsa Doom.",Won 1 Golden Globe. Another 1 win & 9 nominations.,43,movie
317,Creepshow,tt0083767,Stephen King (original screenplay by),An anthology which tells five terrifying tales based on the E.C. horror comic books of the 1950s.,2 nominations.,59,movie
318,Firefox,tt0083943,"Alex Lasker (screenplay), Wendell Wellman (screenplay), Craig Thomas (novel)",A pilot is sent into the Soviet Union on a mission to steal a prototype jet fighter that can be partially controlled by a neuralink.,N/A,44,movie
319,Gandhi,tt0083987,John Briley,"Gandhi's character is fully explained as a man of nonviolence. Through his patience, he is able to drive the British out of the subcontinent. And the stubborn nature of Jinnah and his commitment towards Pakistan is portrayed.",Won 8 Oscars. Another 27 wins & 20 nominations.,79,movie
320,Love Letters,tt0085871,Amy Holden Jones,"A story of love and obsession. A young radio personality who, after her mother dies, discovers she had been having a love affair for 15 years. Now she finds herself recreating her mother's ...",N/A,N/A,movie
321,Videodrome,tt0086541,David Cronenberg,"When he acquires a different kind of show for his station, a sleazy cable-TV programmer begins to see his life and the future of media spin out of control in a terrifying new reality.",3 wins & 7 nominations.,60,movie
322,A Christmas Story,tt0085334,"Jean Shepherd (based on the novel ""In God We Trust,  All Others Pay Cash"" by), Jean Shepherd (screenplay), Leigh Brown (screenplay), Bob Clark (screenplay)","In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.",3 wins & 11 nominations.,77,movie
323,Flashdance,tt0085549,"Thomas Hedley Jr. (screenplay), Joe Eszterhas (screenplay), Thomas Hedley Jr. (story)",A Pittsburgh woman with two jobs as a welder and an exotic dancer wants to get into ballet school.,Won 1 Oscar. Another 10 wins & 14 nominations.,39,movie
324,National Lampoon's Vacation,tt0085995,"John Hughes (screenplay), John Hughes (short story ""Vacation '58"")",The Griswold family's cross-country drive to the Walley World theme park proves to be much more arduous than they ever anticipated.,N/A,55,movie
325,The Wicked Lady,tt0086582,"Leslie Arliss (screenplay), Michael Winner (screenplay), Gordon Glennon (additional dialogue), Aimée Stuart (additional dialogue), Magdalen King-Hall (from the book ""Life and Death of the Wicked Lady Skelton"" by)","Caroline is to be wed to Sir Ralph and invites her sister Barbara to be her bridesmaid. Barbara seduces Ralph, however, and she becomes the new Lady, but despite her new wealthy situation, ...",1 nomination.,N/A,movie
326,Gabriela,tt0085575,"Jorge Amado (novel), Bruno Barreto, Leopoldo Serran, Flávio R. Tambellini","In 1925, Nacib (Marcello Mastroianni) is the owner of bar in a small Brazilian coastal town runs by the local colonels. He meets Gabriela (Sonia Braga) and hires her on as a cook. They soon...",1 nomination.,N/A,movie
327,Losin' It,tt0085868,"Bill Norton (screenplay), Bill Norton (story), Bryan Gindoff (story)","Set in 1965, four rowdy teenage guys travel to Tijuana, Mexico for a night of partying when they are joined by a heartbroken housewife who is in town seeking a quick divorce.",N/A,51,movie
328,Twilight Zone: The Movie,tt0086491,"John Landis, George Clayton Johnson (screenplay by), Richard Matheson (screenplay by), Melissa Mathison (screenplay by), George Clayton Johnson (story by), Richard Matheson (screenplay by), Jerome Bixby (based on a story by), Richard Matheson (based on a story by), Rod Serling (inspired by ""The Twilight Zone"" created by)","Four horror and science fiction segments, directed by four famous directors, each of them being a new version of a classic story from Rod Serling's landmark television series.",1 win & 8 nominations.,44,movie
329,The Dead Zone,tt0085407,"Jeffrey Boam (screenplay), Stephen King (novel)",A man awakens from a coma to discover he has a psychic ability.,7 wins & 4 nominations.,69,movie
330,Lone Wolf McQuade,tt0085862,"B.J. Nelson (screenplay), H. Kaye Dyal (story), B.J. Nelson (story)","After helping the local police with some horse thieves, a Texas Ranger aims at a drug lord with arms trade as well. They're interested in the same woman and they're both into martial arts.",N/A,65,movie
