index,Title,imdbID,Writer,Plot,Awards,Metascore,Type
22,Pinocchio,tt0032910,"Carlo Collodi (from the story by), Ted Sears (story adaptation), Otto Englander (story adaptation), Webb Smith (story adaptation), William Cottrell (story adaptation), Joseph Sabo (story adaptation), Erdman Penner (story adaptation), Aurelius Battaglia (story adaptation)","A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",Won 2 Oscars. Another 4 wins.,99,movie
23,Boom Town,tt0032273,"John Lee Mahin (screen play), James Edward Grant (based on a story by)",Two buddies who rise from fly-by-night wildcatters to oil tycoons over a twenty year period both love the same woman.,N/A,N/A,movie
24,Fantasia,tt0032455,"Joe Grant (story direction), Dick Huemer (story direction), Lee Blair (story development), Elmer Plummer (story development), Phil Dike (story development), Sylvia Moberly-Holland (story development), Norman Wright (story development), Albert Heath (story development), Bianca Majolie (story development), Graham Heid (story development), Perce Pearce (story development), Carl Fallberg (story development), William Martin (story development and research), Leo Thiele (story development and research), Robert Sterner (story development and research), John McLeish (story development and research), Otto Englander (story development), Webb Smith (story development), Erdman Penner (story development), Joseph Sabo (story development), Bill Peet (story development), Vernon Stallings (story development), Campbell Grant (story development), Arthur Heinemann (story development), Phil Dike (story development)",A collection of animated interpretations of great works of Western classical music.,8 wins & 1 nomination.,96,movie
25,Rebecca,tt0032976,"Daphne Du Maurier (celebrated novel), Robert E. Sherwood (screen play), Joan Harrison (screen play), Philip MacDonald (adaptation), Michael Hogan (adaptation)",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Won 2 Oscars. Another 4 wins & 10 nominations.,N/A,movie
26,How Green Was My Valley,tt0033729,"Philip Dunne (screen play), Richard Llewellyn (based on the novel by)","At the turn of the century in a Welsh mining village, the Morgans, he stern, she gentle, raise coal-mining sons and hope their youngest will find a better life.",Won 5 Oscars. Another 8 wins & 6 nominations.,N/A,movie
27,Bambi,tt0034492,"Felix Salten (from the story by), Perce Pearce (story direction), Larry Morey (story adaptation), Vernon Stallings (story development), Mel Shaw (story development), Carl Fallberg (story development), Chuck Couch (story development), Ralph Wright (story development)",The story of a young deer growing up in the forest.,Nominated for 3 Oscars. Another 5 wins & 3 nominations.,91,movie
28,Casablanca,tt0034583,"Julius J. Epstein (screenplay), Philip G. Epstein (screenplay), Howard Koch (screenplay), Murray Burnett (play), Joan Alison (play)",A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,Won 3 Oscars. Another 5 wins & 9 nominations.,100,movie
29,A Guy Named Joe,tt0035959,"Chandler Sprague (story), David Boehm (story), Frederick Hazlitt Brennan (adaptation), Dalton Trumbo (screenplay)","A dead World War II bomber pilot named Pete Sandidge, becomes the guardian angel of another pilot, Ted Randall. He guides Ted through battle and helping him to romance his old girlfriend, despite her excessive devotion to Sandidge's memory.",N/A,N/A,movie
30,Bathing Beauty,tt0036628,"Kenneth Earl (story), M.M. Musselman (story), Curtis Kenyon (story), Joseph Schrank (adaptation), Dorothy Kingsley (screenplay), Allen Boretz (screenplay), Frank Waldman (screenplay)","A contrived misunderstanding leads to the breakup of a songwriter and his fiancée. She returns to work as a gym teacher at an all-girls school, but a legal loophole allows the man to enroll as one of her students.",N/A,N/A,movie
31,Spellbound,tt0038109,"Ben Hecht (screen play), John Palmer (suggested by novel: ""The House of Dr. Edwardes""), Hilary St George Saunders (suggested by novel: ""The House of Dr. Edwardes""), Angus MacPhail (adaptation)",A psychiatrist protects the identity of an amnesia patient accused of murder while attempting to recover his memory.,Won 1 Oscar. Another 1 win & 6 nominations.,N/A,movie
